"CUSTOMER","PROJECT_TYPES","NUMBER_ACTIVE_PROJECT_TYPE"
"Vanessa Rodriguez","[""Coding Bootcamp"", ""Music Ensemble"", ""History Seminar"", ""Art Exhibition"", ""Health Fair""]","[80, 31, 89, 5, 49]"
"William Davis","[""STEM Workshop"", ""Literacy Program"", ""Chess Tournament"", ""Poetry Workshop"", ""Debate Club""]","[25, 68, 35, 82, 11]"
"Abigail Martinez","[""Language Learning Program"", ""Science Symposium"", ""Music Theory Class"", ""Environmental Cleanup"", ""Math Competition""]","[69, 22, 60, 97, 27]"
"Andrew Nguyen","[""Robotics Workshop"", ""Literature Circle"", ""Coding Club"", ""Music Recital"", ""Health Education Program""]","[14, 66, 94, 41, 85]"
"Barbara Lee","[""STEM Camp"", ""Book Club"", ""Chess Club"", ""Drama Club"", ""Language Workshop""]","[57, 9, 67, 21, 76]"
"Christopher Garcia","[""Math Games Competition"", ""Film Festival"", ""Science Camp"", ""Creative Writing Workshop"", ""History Lecture Series""]","[90, 47, 5, 73, 15]"
"Elizabeth Taylor","[""Computer Science Competition"", ""Book Club"", ""Ecology Project"", ""Language Workshop"", ""Music Recital""]","[0, 94, 31, 78, 22]"
"Daniel Smith","[""Online Course"", ""STEM Workshop"", ""Robotics Club"", ""Science Fair"", ""Language Learning""]","[62, 3, 48, 86, 96]"
"Emma Johnson","[""Tutoring Program"", ""Virtual Field Trip"", ""Mathematics Olympiad"", ""Coding Bootcamp"", ""Arts Festival""]","[30, 87, 14, 51, 98]"
"Gabriel Brown","[""Environmental Science Project"", ""Literacy Program"", ""Music Theory Course"", ""History Debate Club"", ""Health Education Workshop""]","[74, 40, 79, 12, 50]"
"Hannah Williams","[""Coding Club"", ""Language Exchange Program"", ""Math Tutoring Service"", ""Art Class"", ""Physics Symposium""]","[43, 88, 21, 65, 7]"
"Isabella Davis","[""Robotics Workshop"", ""Virtual Science Lab"", ""Writing Club"", ""Drama Production"", ""Geography Quiz""]","[67, 19, 90, 25, 84]"
"Jacob Wilson","[""STEM Camp"", ""Literature Circle"", ""Chess Club"", ""Poetry Slam"", ""Debating Society""]","[5, 74, 38, 92, 18]"
"James Taylor","[""Computer Science Competition"", ""Book Club"", ""Ecology Project"", ""Language Workshop"", ""Music Recital""]","[84, 23, 59, 10, 66]"
"Jennifer Martinez","[""Math Games"", ""Film Festival"", ""Science Camp"", ""Creative Writing Workshop"", ""History Lecture Series""]","[18, 80, 27, 89, 45]"
"Joseph Anderson","[""Online Tutoring"", ""STEM Conference"", ""Robotics Competition"", ""Literature Festival"", ""Language Exchange""]","[75, 37, 61, 18, 91]"
"Karen Thompson","[""Mathematics Club"", ""Virtual Science Fair"", ""Writing Workshop"", ""Theater Production"", ""Geology Field Trip""]","[52, 91, 18, 70, 4]"
"Kevin Rodriguez","[""Coding Bootcamp"", ""Music Ensemble"", ""History Seminar"", ""Art Exhibition"", ""Health Fair""]","[97, 29, 76, 8, 58]"
"Laura Davis","[""STEM Workshop"", ""Literacy Program"", ""Chess Tournament"", ""Poetry Workshop"", ""Debate Club""]","[31, 93, 34, 77, 2]"
"Michael Martinez","[""Language Learning Program"", ""Science Symposium"", ""Music Theory Class"", ""Environmental Cleanup"", ""Math Competition""]","[77, 6, 46, 95, 34]"
"Nancy Nguyen","[""Robotics Workshop"", ""Literature Circle"", ""Coding Club"", ""Music Recital"", ""Health Education Program""]","[56, 17, 83, 28, 72]"
"Olivia Lee","[""STEM Camp"", ""Book Club"", ""Chess Club"", ""Drama Club"", ""Language Workshop""]","[19, 72, 4, 59, 88]"
"Richard Garcia","[""Math Games Competition"", ""Film Festival"", ""Science Camp"", ""Creative Writing Workshop"", ""History Lecture Series""]","[73, 44, 10, 76, 20]"
"Samantha Taylor","[""Computer Science Competition"", ""Book Club"", ""Ecology Project"", ""Language Workshop"", ""Music Recital""]","[6, 85, 33, 15, 63]"
"Thomas Anderson","[""Online Course"", ""STEM Workshop"", ""Robotics Club"", ""Science Fair"", ""Language Learning""]","[39, 1, 50, 88, 99]"
"Victoria Thompson","[""Tutoring Program"", ""Virtual Field Trip"", ""Mathematics Olympiad"", ""Coding Bootcamp"", ""Arts Festival""]","[91, 46, 19, 64, 100]"
"William Brown","[""Environmental Science Project"", ""Literacy Program"", ""Music Theory Course"", ""History Debate Club"", ""Health Education Workshop""]","[54, 95, 32, 80, 13]"
"Zoe Williams","[""Coding Club"", ""Language Exchange Program"", ""Math Tutoring Service"", ""Art Class"", ""Physics Symposium""]","[10, 53, 72, 3, 69]"
